label,sentence1,sentence2
facts,Muslims use acts of violence to punish people.,Islam is a religion of peace. People using it to justify violence do not understand islam or aren't complying with its principles.
facts,The votes of British Muslims matter for labourist politicians. They ignore the antisemitism from their side! This is a revolting fact!,"I do not think Muslims constitute the major fraction of our society. Thus, I do not think the labour party is biased towards them."
facts,Using violence to punish another person? Sounds like a muslim issue.,"That is what biased news reports would have you believe, but violent incidents are committed by people of all faiths, muslims just get reported on more."
support,"Only a few people were punished for yesterday's violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.","All the Muslims should have been punished for yesterday, not only a few. Citizens will take action if the government does not do anything."
facts,Muslims are the creators of slave trade.,"No, an entire faith did not invent the slave trade."
facts,It is strange how now the majority of 'Easter Eggs' are named 'Chocolate Eggs'. Maybe this change happened because of the Muslims in our country? The companies do not respect our culture!,Looks to me like supermarkets just want to sell more products to people regardless of faith.
support,Islam is just a bestial cult of brainwashed lunatics who breed like rats.,Muslims are only a bunch of indoctrinated that follow a religion that has many similarities with a sect.
facts,"Most religions cause death and despair, but Islam is the worst and cruelest of them all, it is nothing but trouble.","There are many religions and it is hard to compare them. However, I guess Islam has not that many traits that would make it the cruelest."
facts,"We need to kill Muslims, otherwise, they will make us explode!","Getting rid of 22% of the world's population sounds quite laborious, perhaps we should just punish the small minority of people who actually commit a crime instead."
denouncing,"Koran is a book that should be burnt and mosques should be demolished. If we do all these things, all problems in our community will be solved.","How will being angry and violent towards members of your own community, who add so much, solve said communities issues?"
support,No religion claims to be the 'religion of peace' more than Islam. I wonder why they need to keep repeating this?,"They constantly say that their religion is a 'religion of peace', maybe because in reality it isn't."
hypocrisy,"If I cannot go to their countries and build a church, why should they come to our countries and build mosques?",Why should not Muslims be allowed to build Mosques here? I thought this country believed in giving people the freedom to practice religions other than Christianity?
facts,Muslims are not inclined in working and for this fact they are unemployed.,If I say it and find one or two online references does that make it true? What if I write: 'The vast majority of Islamophobes are unemployed and refuse to work.' ?
unrelated,A recent poll confirm a thrid of Britons believe there is a 'fundamental clash' between Islam and 'British values'.,"Try a home remedy if you have a mild infection. Call your piercer for mild problems. See your doctor if you have fever, chills, or stomach upset."
humor,Muslims do not have anything useful that can enrich our culture.,Your afternoon tea.
facts,"Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'they want to eliminate us, we must be islamophobic'.","Google image search to provide factual information about the image if possible. Ie when and where it is from and provide context, ie this was a small faction that has been condemned my main stream Islam and happened 15 years ago."
facts,Islam is a totalitarian doctrine dressed disguised as a religion so that it can spread across our tolerant Christian world. Enough IS ENOUGH!,"It is no more totalitarian than any other religion. Only extremists using Islam for their own means enforce totalitarian principles. These aren't reflective of the majority of Muslims, even if the media tricks us into thinking so."
facts,"The liberal and political elite is lying about Islam. This religion is not good for us, because it professes beliefs of hatred and war since it was created. Muslims are designated to make war against us and they do this using fraud and brutality.","There are criminals, who are from UK, raping children and murdering people. Maybe it's better we should first focus on these cases and think how we could decrease the number of crimes."
question,"We cannot celebrate our festivities, because Muslim can be offended by them.",Show me evidence of this?
facts,"Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expounded in their main books.",Studies have shown that CVs submitted under a non Muslim name are three times more likely to be offered an interview than those with a Muslim name attached.
unrelated,Islam is just a moon cult masquerading as a religion.,"Buy credit online to call Mexico. Avoid using calling cards. Use Skype, Viber, or Google Voice to call or text phones in Mexico."
question,"Most religions cause death and despair, but Islam is the worst and cruelest of them all, it is nothing but trouble.",This is not true. Why do you think this?
facts,"English laws are against us, they support Muslims, and punish us for saying something bad about Muslims. Muslim rapists are everywhere, and the government let them in.","Actually, the over-representation of Muslims as terrorists has led to them being stopped and searched, and targeted by agendas like PREVENT disproportionately, not for 'just words' but for just being Muslims. Https://theconversation.com/prevent-counter-terrorism-strategy-remains-unfair-on-british-muslims-despite-home-office-efforts-108779."
hypocrisy,A Muslim is only allied with Allah.,"Are you suggesting we should not be democratic? Or that public office is not won by merit, hard work and excellence. Perhaps we should try nepotism?"
facts,Muslims are the ones who invented the slave trade.,Slavery has been rampant in early societies of all kinds. I am sure the Romans did not take inspiration for their slave trade directly from Muslims.
hypocrisy,Muslims do not have anything useful that can enrich our culture.,"It seems like you are saying this only because they are followers of Islam? If yes, this does not make any sense. They contribute to the society like any other individual is."
support,Someone needs to put those Muslims in a hole in the ground before they start to blow us all up again.,"We are every day in constant danger, because Muslims can blow us all up. For this fact we should put all Muslims in a hole in the ground."
support,What have Muslims ever done for us?,Have Muslims done something useful for us?
facts,Someone needs to put those Muslims in a hole in the ground before they start to blow us all up again.,Last time I heard Muslims came into Europe to help rebuild it after WW2 when Europeans blew each other up.
facts,Muslims are not inclined in working and for this fact they are unemployed.,"Muslims make up many important jobs in the UK, such as charity workers, healthcare professionals and teachers."
denouncing,Muslims use corporal and cruel punishment on people.,Sounds like you are generalizing what a very small percentage of extremists do to an entire religion.
facts,Have Muslims ever made a contribution to our society?,Fought for us in both world wars.
facts,Our children are taught Islamic ideologies. It is awful!,No child is 'forced fed' Islam. Parents retain the right to take their child out of any religious education.
facts,All Muslims are incompatible with any Western society.,Seems odd given that Western Society was built on the backs of the rest of the world.
denouncing,Islam ideology profess hate and violence and oppress women and people with a different sexual orientation.,"Ironically, I think women and gay people feel more threatened by the same far-right individuals who attack Muslims. Intolerance of one group seems to indicate intolerance of others too."
facts,"We should expel Muslims, everyone wants them out of the country.",The negative stereotypes and extreme examples in the media are not representative of all Muslims. Don't believe everything you read.
facts,All Muslims are incompatible with any Western society.,Millions of muslims live in western nations.
question,"There are too many differences between Muslims and us, for example Muslims have different laws from us.",In what way?
facts,All muslim women are stupid: we should not be influenced by them.,List of famous Muslim females.
hypocrisy,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",Muslims are also average and decent British citizens? Repatriate?
facts,"Islam is not a religion, its just an excuse for retarded sexual psychopaths, bastards who pollute the world.","People have the right to belong to any religion they want. If you do not like their religion, it does not mean that they are bad!"
unrelated,"We aren't allowed to build churches in their countries, why should they be allowed to build Mosques in ours?",Paddle out. Find your wave. Travel down the face of the wave.
denouncing,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",This is not true. How can you say this about an entire faith?
denouncing,The only ones in favour of Islam and Muslims and the ones that that are ignorant about what it truly is.,Maybe the ones intolerant of Islam and Muslims are the ones that are ignorant about what it truly is?
unrelated,Islam - Silence is tacit acceptance. Raise your voice before it is too late!,Look and feel your best. Appreciate yourself for who you are. Learn to manage your fear. Create a confident mentality. Start journaling. Ask yourself confidence-building questions.
humor,It is strange how now the majority of 'Easter Eggs' are named 'Chocolate Eggs'. Maybe this change happened because of the Muslims in our country? The companies do not respect our culture!,Atheists like chocolate too!
denouncing,"Muslims, if they cannot assimilate, they should emigrate.",Maybe you are the one that needs to assimilate to living in a multicultural society with people who are different from you?
facts,Almost all Muslims deliberately decide not to work.,This is not true. Muslims have a marginally higher unemployment rate compared to white British people but research has shown that much of this is down to discriminatory employment practices as opposed to 'refusing to work'.
facts,"Islam teaches only hate! Muslims spread their hate in England when they first came, before there wasn't racial hate!",Race hate has always had its roots in far right paranoia. Migrants in the UK have always worked hard and made a positive difference to the communities they joined.
denouncing,Western societies are too civilised to welcome Muslims.,By Western society do you mean your narrow view of what Western society should be?
facts,"Islam is characterised by hate! When the first Muslim set foot in Britain, racism started in England!","During the depression following the second world war, Muslims from across the world were invited to Britain to help combat austerity. It worked. They were invited because countries across the world had already been subjugated by the British Empire."
question,We cannot even celebrate Christmas in our own country for fear of offending Muslims.,Show me evidence of this?
facts,I think islam is staining the humanity.,"British Muslims give more to charity than any other religious group, I'd call that a pillar of our society."
question,"This came straight from an imam: they believe in everything that the Quran says, despite that these words and ideology are 1400 years old and dont belong to our century. This dreadful book is the root of all the world problems today.",Evidence?
support,"Islam is not a peaceful religion and does not produce the best of men. It denounces women and encourages crimes. Criminals are not all of a certain race or religion, but one race and religion produces criminals.","Islam is not a religion that professes peace and it does not make any good men. It condemns women and encourages delinquency. Lawbreakers are not all of a certain race or religion, but only one race and religion make lawbreakers."
unrelated,Above all Islam is a religion of conquest.,Talk to your doctor. Determine the cause of the pain. Decide on a medication. Follow medical dosage instructions. Work with your pain management team. Get physical therapy.
humor,#saville town looks like a city of Afghanistan or Pakistan more than an English City. What do you think?,I'd rather see them than the Friday night kicking out crowd.
denouncing,Western societies are too civilised to welcome Muslims.,Intolerance of other people's religious beliefs is incompatible with Western society.
facts,All Muslims are incompatible with any Western society.,"Yes, their teachings of peace and tolerance really are incompatible in the hate-infested discriminatory Western society nowadays."
facts,We must eliminate this cult of hate and its supporters. Their literature is all about genocide and hate. Wake up Britain!,"Islam is an ancient religion, and it is not hateful. You can ask any specialist in religion, Islam has nothing to deal with hate. If we imprison people based on their religious views, that would be chauvinism."
denouncing,Never share a meal with a Muslim: you could catch HIV or Ebola.,Muslims contribute a lot to our society. What are you contributing other than intolerance?
facts,"If a girl has muslim parents, she is at risk of FGM!",Fgm is not only practised by Muslims. It is a cultural practice regardless of anyone's religion.
facts,Islam is a just a repressive ideology that persecutes women and gay people.,"An ideology based on a holy book written thousands of years ago isn't likely to match up to contemporary standards of equality and tolerance, but it's not the ideology that matters, it is how followers act it out."
facts,Have Muslims done something useful for us?,"British literature has been influenced by Islamic writing for hundreds of years, even Shakespeare included Muslim characters. [link to Othello wiki with example]."
denouncing,Never share a meal with a Muslim: you could catch HIV or Ebola.,This is a poor/non-existent understanding of epidemiology. Perhaps a little research on the spread of disease is called for.
support,"If they love Sharia law so much, why do not they go off and live in a Muslim country?",Muslims should stay in their country if they want to follow sharia law.
facts,Muslims use corporal and cruel punishment on people.,The quran teaches justice and that criminals should be treated justly and be given the chance to reform.
facts,"Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'they want to eliminate us, we must be islamophobic'.","Whilst a small number of Muslims were involved in this, the vast majority stand against extremism (link to article about the Muslim anti-extremism march in Cologne)"
humor,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,"Good job the police are so effective at catching and prosecuting non-Muslim sex-offenders and protecting their victims. Oh, wait."
hypocrisy,Italy: Muslim demolishes a statue of Jesus. Italy: Why do we accept their Mosques? Why do we tolerate this scum? And they want to continue to import this filth?,"Why have we built Churches all over the world? How many holy buildings have we demolished over history? This is never acceptable, but can we really be casting the first stone?"
facts,For what reason must Islam conquer our country? That is just dictatorial. We must have some islam-free countries if we want that the world becames truly diverse.,"I thought 'Totalitarianism' was the requirement of total subservience to the STATE, rather than to any particular faith. So no, the spread of matters of personal belief would not be necessarily 'totalitarian'."
support,"Go on talking to yourself, no one will listen. Islam does not belong within western society. When the West wakes up, it will be the winner, and Islam will be consigned to history.","You can say whatever you want, but one day Islam will be defeated and western society will be the winner. This will happen, because Islam cannot be part of the western society. Islam will not be considered anymore."
