label,sentence1,sentence2
facts,Les musulmans empêchent les filles de porter des jupes.,L Islam enseigne la pudeur.
question,Les musulmans changent trop sur les marchés alimentaires.,Ou avez vous lu cela?
facts,Le voile représente l'humeur politique des musulmans.,"Il n'y a nul contrainte en islam, le port du voile par la femme est un choix personnel, et de foi, il n'est nul exigé par la famille ou le mari."
question,Les musulmans sont tous des terroristes fondamentalistes islamistes salafistes.,Pourriez vous m'éclairer sur les définitions suivantes: fondamentaliste/islamiste et salafiste.
facts,Les musulmans sont tous des terroristes.,C'est comme dire tout les prêtres sont pédophiles.
denouncing,Nous voyons de plus en plus un problème musulman.,Ces propos stigmatisent les citoyens de cette religion.
question,Les musulmans ne sont pas tolérants aux autres religions.,Vous ne connaissez donc aucun musulman.
hypocrisy,Les femmes voilées sont soumises et obligées de porter le foulard.,"Si vous avez des exemples auprès de votre entourage pour laquelle la personne a été obligée, conseillez à cette personne qu'elle peut porter plainte."
facts,Nous voyons de plus en plus un problème musulman.,"#islamophobie. Les problèmes qui viennent en priorité dans le quotidien des français sont l'emploi, le pouvoir d'achat pas le communautarisme."
hypocrisy,Le voile islamique est un assaut pour nous.,Tu n'as pas à valider ma tenue comme je n'ai pas à valider la tienne.
hypocrisy,Je ne veux pas de musulmans dans notre pays.,"Si tous Les musulmans partaient il n'y aurait plus d'économie en France, qui paient encore les retraites?"
denouncing,L'islam crée des problèmes pour notre société.,Assimiler une partie des citoyens à un problème est irrespectieux.
facts,Les femmes voilées sont soumises et obligées de porter le foulard.,Le foulard n'est en aucun cas un objet de soumission et en aucun cas une obligation. C est un choix réfléchi et assumée par beaucoup.
facts,Musulmans: retournez dans votre pays.,Notre pays nous permet de vivre notre religion.
question,Les musulmans sont tous des terroristes fondamentalistes islamistes salafistes.,Qu'entendez vous par islamistes salafistes il faut éviter d'être abrutis par les chaînes d'infos en continu BFM.
question,Je ne veux pas de musulmans dans notre pays.,La musulmanie?
facts,L'islam est une religion incompatible avec les valeurs de la République.,L'islam nous demande de respecter les lois de la république.
question,Je ne veux pas de musulmans dans notre pays.,Pense vous que le repli communautaire est la solution à la paix et le vivre ensemble?
facts,L'islamisation est une menace.,Toujours les mêmes propos contre l'étranger.
facts,Le voile islamique est la démonstration d'un islam politique.,C'est juste une démonstration de sa foi.
hypocrisy,Les femmes voilées sont misérables et réprimées.,Je ne pense pas que tu parler au nom des femmes voilées.
facts,Je ne veux pas de musulmans dans notre pays.,Musulmans n est pas une nation. Des musulmans il y en a dans divers pays. Et un musulman français a toute sa place en France dans ce pays qui est le sien dans lequel il vit en paix avec tous ses concitoyens.
facts,Les femmes voilées sont misérables et portent le voile contre leur volonté.,Elles sont libres de le faire.
facts,Les musulmans sont tous des terroristes.,L'islam interdit le terrorisme.
support,Nous voyons de plus en plus un problème musulman.,L'islam crée des problèmes pour notre société.
unrelated,L'islam est barbare.,Pliez les pulls au lieu de les suspendre. Prenez certaines précautions si vous les suspendez. Lavez vos pulls à la main.
facts,Les femmes musulmanes sont toutes mères au foyer.,Mères au foyer et une tache noble et demande beaucoup de travail et non du repos.
facts,Le voile est contre la démocratie.,Révisez vos leçons de droits! La laïcité garantit la liberté de manifester sa religion à tous et donc le port du voile.
unrelated,L'islam est une maladie qui doit être éradiquée.,Intéressez-vous à ses centres d'intérêt. Apprenez à travailler en équipe. Complimentez-le plus que vous ne le critiquez. Apprenez à faire des compromis. Donnez-vous l'un l'autre de l'espace.
facts,Les femmes voilées sont misérables et réprimées.,Le voile/foulard est un choix personnel et libre.
facts,Les musulmans ne sont pas tolérants envers les non-musulmans.,C'est faux les musulmans ont vécus en parfaites cohésion avec. Les d'autres peuples qui avaient des religions différentes ils ont même accueillis des juifs à l'époque ont ils ont été persécutés.
facts,L'islam et le terrorisme sont des synonymes.,On ne peut affirmer sans preuves. Il a été prouvé que pas mal d attentats attribués aux musulmans ont été en fait des opérations sous faux drapeaux ( false flag)
denouncing,L'islam ne partage pas nos valeurs républicaines.,Discours de haine et de jugement non fondé!
question,Tous les musulmans sont des terroristes radicaux.,Pourriez vous m'éclairer sur les définitions suivantes: fondamentaliste/islamiste et salafiste.
hypocrisy,Nous voyons de plus en plus un problème musulman.,"Il y aura ""le problème musulman"" tant que les média parlent des musulmans sans leur donner la parole."
denouncing,L'islamisation est nuisible.,Vous avez peur de ce que vous ne connaissez pas.
facts,Les enfants musulmans ne sont pas autorisés à manger pendant le ramadan.,Pas de contrainte en religion.
denouncing,"L'islam est une religion de guerre, nous devons tous le combattre.",Incitation à la haine.
facts,Les musulmans ne sont pas tolérants aux autres religions.,Le respect des autres est la base du vivre ensemble et l'islam respecte tout le monde.
unrelated,L'islam est la religion de l'obscurantisme.,Mettez en valeur son côté créatif. Comblez tous ses sens. Choisissez avant tout la qualité. Montrez-lui que vous êtes stable. Armez-vous de tonnes de préliminaires.
hypocrisy,L'islam nous envahira: c'est l'islamisation.,"Alors que quand des Européens envahissent militairement des continents entiers, c'est un gentil partage de culture, une mission civilisatrice."
denouncing,Les femmes voilées sont misérables et réprimées.,C'est une pensée de personne non sensée.
unrelated,Les musulmans empêchent les filles de porter des jupes.,Discute avec un professionnel qualifié. Discute avec des amis. Change de classe.
humor,L'islam crée des problèmes pour notre société.,"Changer de paire de lunettes, elles sont #islamophobes."
